chr bin "rec rate (cM per Mb)"
1 0 5.56984182370925E-005
1 1 0.0331567742
1 2 0.0652050669
1 3 0.284949149
1 4 0.5351389037
1 5 0.5495085067
1 6 0.689349961
1 7 2.3419842778
1 8 1.3806940293
1 9 1.4075211391
1 10 0.5116067389
1 11 2.154690089
1 12 0.7337148425
1 13 0.7071735036
1 14 2.0801009214
1 15 1.1151634838
1 16 1.649875491
1 17 3.3769265191
1 18 0.4835078289
1 19 0.9737715244
1 20 1.6430692909
1 21 0.7081044442
1 22 0.6562759005
1 23 1.139548062
1 24 2.492296678
1 25 0.2145077499
1 26 0.1452833592
1 27 0.1399599836
1 28 0.4697601477
1 29 0.4129450219
1 30 0.8751858747
1 31 0.5095702401
1 32 1.2805290444
1 33 0.8066649954
1 34 0.9065273134
1 35 0.7520276156
1 36 0.6258679099
1 37 0.4692039782
1 38 0.2596811731
1 39 0.464794387
1 40 0.4958804064
1 41 0.5184422825
1 42 0.2676649373
1 43 0.2022673011
1 44 0.0658900923
1 45 0.118474134
1 46 0.1175841861
1 47 0.4735132142
1 48 0.4132150737
1 49 0.194448455
1 50 0.1226828124
1 51 0.0852582811
1 52 0.1173209227
1 53 0.1167485542
1 54 0.0596324366
1 55 0.130909849
1 56 0.4979490796
1 57 0.2887772009
1 58 0.918191849
1 59 0.2459673118
1 60 0.4018629263
1 61 0.070913159
1 62 0.1413267941
1 63 0.3541618123
1 64 0.2565701006
1 65 0.5761903486
1 66 0.020485921
1 67 0.0480374935
1 68 0.0610155241
1 69 0.1010593248
1 70 0.0651102472
1 71 0.0602023742
1 72 0.1197985313
1 73 0.1784030281
1 74 0.2007921473
1 75 0.2572475466
1 76 0.0938495112
1 77 0.0113130082
1 78 0.1528697589
1 79 0.1189206793
1 80 0.3334317254
1 81 0.3051497971
1 82 0.1828508664
1 83 0.1427095501
1 84 0.0893482847
1 85 0.1439733001
1 86 0.112920159
1 87 0.4417548164
1 88 0.0677876313
1 89 0.0723907975
1 90 0.1177273669
1 91 0.1086329897
1 92 0.3805584817
1 93 0.0495129774
1 94 0.1306209107
1 95 0.0776039246
1 96 0.1146564034
1 97 0.0507482874
1 98 0.0553333318
1 99 0.1738648035
1 100 0.0053169677
1 101 0.0126335809
1 102 0.0254302024
1 103 0.4072970356
1 104 0.2559763711
1 105 0.1723572296
1 106 0.2806043673
1 107 0.3524683639
1 108 0.3675932488
1 109 0.037339868
1 110 0.0800264379
1 111 0.1547605904
1 112 0.5634794497
1 113 0.3042298707
1 114 0.2359433137
1 115 0.0706945889
1 116 0.2648818436
1 117 0.20315141
1 118 0.098515556
1 119 0.1584521272
1 120 0.3975539676
1 121 0.1545755889
1 122 0.2358471584
1 123 0.1180916713
1 124 0.4684825269
1 125 0.051887743
1 126 0.2419181526
1 127 0.0191776565
1 128 0.0594758753
1 129 0.3770700797
1 130 0.4869632244
1 131 0.0271626989
1 132 0.2056522205
1 133 0.0400041702
1 134 0.1150004484
1 135 0.0248058196
1 136 0.0550913468
1 137 0.4245468757
1 138 0.0562739397
1 139 0.1279819539
1 140 0.01869886
1 141 0.0546506408
1 142 0.1691092601
1 143 0.1712544048
1 144 0.1205758115
1 145 0.0864125567
1 146 0.0307409047
1 147 0.0202957312
1 148 0.1254777702
1 149 0.0644490124
1 150 0.0183247343
1 151 0.0853783207
1 152 0.0400836936
1 153 0.2441906983
1 154 0.171010263
1 155 0.24716149
1 156 0.0884695878
1 157 0.3178767624
1 158 0.2467810357
1 159 0.4143819298
1 160 0.2433405542
1 161 0.0550331113
1 162 0.8410343929
1 163 0.1974997318
1 164 0.2573803432
1 165 0.0958333962
1 166 0.1185265451
1 167 0.0801000126
1 168 0.314036358
1 169 0.046405811
1 170 0.071073161
1 171 0.2120010248
1 172 0.109000736
1 173 0.0891390364
1 174 0.1179407041
1 175 0.3364775931
1 176 0.2816069808
1 177 0.1159740321
1 178 0.2230605441
1 179 0.6028943607
1 180 0.1872099019
1 181 0.2402453954
1 182 0.3700776656
1 183 0.2065931502
1 184 0.3684056039
1 185 0.3761475041
1 186 0.4907376983
1 187 0.0732844661
1 188 0.0086306403
1 189 0.0050392629
1 190 0.0577375558
1 191 0.0097865696
1 192 0.0146057861
1 193 0.0579334235
1 194 0.0176294011
1 195 0.0105928378
1 196 0.2196312823
1 197 0.0205289908
1 198 0.2537411722
1 199 0.1255350273
1 200 0.1619150097
1 201 0.1600438846
1 202 0.1530082982
1 203 0.1517605897
1 204 0.2172646269
1 205 0.2069970122
1 206 0.6638956814
1 207 0.3092391646
1 208 0.0898478327
1 209 0.0727310302
1 210 0.0127587143
1 211 0.0960955305
1 212 0.411799551
1 213 0.249254633
1 214 0.0570625762
1 215 0.1838701514
1 216 0.0582773503
1 217 0.0438793999
1 218 0.0766727908
1 219 0.0141614097
1 220 0.104196827
1 221 0.1870019037
1 222 0.124535729
1 223 0.1542198446
1 224 0.0966499241
1 225 0.1739733815
1 226 0.4016162074
1 227 0.1262811096
1 228 0.1175320063
1 229 0.1220969148
1 230 0.1712126311
1 231 0.3321464498
1 232 0.1408328593
1 233 0.0899132406
1 234 0.0939770894
1 235 0.0266058696
1 236 0.0088447968
1 237 0.1218060208
1 238 0.1959090924
1 239 0.0610406788
1 240 0.2272030848
1 241 0.1974471744
1 242 0.1918475246
1 243 0.1864514653
1 244 0.2241648037
1 245 0.1908319748
1 246 0.1418345494
1 247 0.274826655
1 248 0.515418074
1 249 0.2643859396
1 250 0.2054978374
1 251 0.0598121703
1 252 0.0251101925
1 253 0.0246586006
1 254 0.0949323654
1 255 0.5305962287
1 256 0.1361642378
1 257 0.2965360036
1 258 0.1072567085
1 259 0.2188786513
1 260 0.1625925169
1 261 0.099211205
1 262 0.2013945241
1 263 0.1666801254
1 264 0.6274857004
1 265 0.5521892242
1 266 0.3316771432
1 267 0.7089226772
1 268 0.8844183002
1 269 0.2483925009
1 270 0.1754815297
1 271 0.4469357815
1 272 0.3381249511
1 273 0.0966699016
1 274 0.1288966024
1 275 0.0716805258
1 276 0.1342588311
1 277 0.1381389597
1 278 1.0963922144
1 279 0.7367541547
1 280 1.0229551837
1 281 1.0528645355
1 282 0.6497928404
1 283 1.2568740735
1 284 1.0619971944
1 285 0.7536928383
1 286 1.0555913674
1 287 0.6137588937
1 288 0.6708138687
1 289 1.1894953897
1 290 0.5553804432
1 291 1.0425655493
1 292 0.3736610129
1 293 0.830092325
1 294 2.1995155036
1 296 0.1923484257
1 297 0.3551878888
1 298 0.9637502753
1 299 0.817971756
1 300 0.5231731729
1 301 2.6146064981
1 302 3.0271480524
1 303 0.7990679729
1 304 1.9742495612
1 305 0.8334939999
1 306 1.5503992299
1 307 0.0998297974
1 308 0.0033701349
2 0 0.2583925524
2 1 1.4095014772
2 2 1.9251407817
2 3 1.8120257843
2 4 1.1293399689
2 5 1.2436698261
2 6 1.4469652668
2 7 1.5762235154
2 8 1.1011536507
2 9 1.4097577561
2 10 0.9951655411
2 11 1.1789699019
2 12 1.3707512204
2 15 2.1341622584
2 16 0.3526234063
2 17 0.767720735
2 18 2.1515307173
2 19 2.8500821251
2 20 0.8789387881
2 21 0.5805995885
2 22 1.0555308995
2 23 0.7394200522
2 24 0.1730213552
2 25 0.7494367074
2 26 0.6047316813
2 27 1.7309274671
2 28 2.4624534782
2 29 0.8436428479
2 30 0.3165681063
2 31 0.6909762797
2 32 0.5845086852
2 33 0.3204784058
2 34 0.2207438558
2 35 0.8587000835
2 36 0.0694808629
2 37 0.1211015295
2 38 0.0200127712
2 39 0.0834933152
2 40 0.2447455815
2 41 0.5239920476
2 42 0.5220268067
2 43 0.6327791427
2 44 0.4160795738
2 45 0.4062517928
2 46 0.6571074041
2 47 0.6441661815
2 48 0.3265546187
2 49 0.5635514517
2 50 0.5149437744
2 51 0.3648915735
2 52 0.2366076972
2 53 0.0071580956
2 54 0.016095893
2 55 0.0156102475
2 56 0.0217922656
2 57 0.0311867424
2 58 0.2959315552
2 59 0.1341894628
2 60 0.2367343933
2 61 0.0899685765
2 62 0.2716446548
2 63 0.0734378212
2 64 0.0198976364
2 65 0.1349942677
2 66 0.1342746045
2 67 0.0509506177
2 68 0.0232490859
2 69 0.1263327356
2 70 0.1647997075
2 71 0.3648852218
2 72 0.1834041246
2 73 0.0788391215
2 74 0.2638856747
2 75 0.1513234815
2 76 0.1736517313
2 77 0.1398685597
2 78 0.0308663124
2 80 0.3970197809
2 81 0.2591878695
2 82 0.233616065
2 83 0.7524462755
2 84 0.2604252628
2 85 0.3848336979
2 86 0.3529208256
2 87 0.528833613
2 88 0.1996036916
2 89 0.4386422399
2 90 0.2627757864
2 91 0.4130730148
2 92 0.0664395767
2 93 0.2183485149
2 94 0.0959313045
2 95 0.0545881274
2 96 0.1395199229
2 97 0.5554937951
2 98 0.1424738272
2 99 0.0237647688
2 100 0.0877208467
2 101 0.2483170524
2 102 0.1334885295
2 103 0.1972770223
2 104 0.2931886246
2 105 0.0956084725
2 106 0.6141871524
2 107 0.2873624682
2 108 0.221569444
2 109 0.197113766
2 110 0.2122935725
2 111 0.1186353044
2 112 0.3829652555
2 113 0.1759955386
2 114 0.0421008781
2 115 0.052333505
2 116 0.0585737757
2 117 0.6458046803
2 118 0.3706929092
2 119 0.3520023829
2 120 0.4451121724
2 121 0.3000689954
2 122 0.8599535994
2 123 0.7259054595
2 124 0.3974609267
2 125 1.2390381928
2 126 0.1645893228
2 127 0.405485589
2 128 0.3805416306
2 129 0.1721340464
2 130 0.6477178506
2 131 1.0768899269
2 132 1.7928628694
2 133 2.696607422
2 134 1.2627812283
2 135 1.1824983726
2 136 0.6549161949
2 137 1.5520426987
2 138 0.9338021059
2 139 0.5102799081
2 140 0.9096942222
2 141 2.0443232079
2 142 1.3929641505
2 143 1.7949182964
2 144 1.4665276841
2 145 1.3230070338
2 146 1.1168258039
2 147 1.307314721
2 148 0.8341181016
2 149 1.6751244379
2 150 2.8353793685
2 151 0.9059022844
2 152 0.7198307422
2 153 1.0022574887
2 154 1.5848374353
2 155 0.6632616723
2 156 0.1271535873
2 157 0.139793904
2 158 0.000036471
3 1 0.0543215339
3 2 0.0997674534
3 3 1.146068639
3 4 4.8642935289
3 5 4.3384559668
3 6 1.0377697418
3 7 0.8386106818
3 8 0.938153286
3 9 1.8975704253
3 10 0.866049544
3 11 1.7942590947
3 12 0.8669166734
3 13 0.3698039202
3 14 1.0997637136
3 15 4.6308588467
3 16 2.0228840238
3 17 1.5465344936
3 18 1.7970566727
3 19 0.7380867616
3 20 0.836127835
3 21 1.0856564698
3 22 0.0758665753
3 23 0.343118295
3 24 0.1429028506
3 25 0.172195378
3 26 0.568970027
3 27 0.5105465256
3 28 0.1263885272
3 29 0.2228594769
3 30 0.9885718316
3 31 0.2320911135
3 32 0.5558519109
3 33 0.1563704463
3 34 0.6233970834
3 35 0.3284918324
3 36 0.6776118252
3 37 0.6879112698
3 38 0.272689134
3 39 0.0478581522
3 40 0.1430065039
3 45 0.1396045638
3 46 0.1220866608
3 47 0.1598851266
3 48 0.2069629693
3 49 0.7454610305
3 50 0.2283515494
3 51 0.1981302627
3 52 0.3231310021
3 53 0.2082654204
3 54 0.2589873849
3 55 0.2885942234
3 56 0.3684412205
3 57 0.5704499587
3 58 0.1972053766
3 59 0.2854919676
3 60 0.3301310017
3 61 0.3798093142
3 62 0.1405704798
3 63 0.2130865511
3 64 0.0647654274
3 65 0.0876924846
3 66 0.5122724364
3 67 0.4299026595
3 68 0.0877092882
3 69 0.2457793644
3 70 0.5189648099
3 71 0.6051125968
3 72 0.312996182
3 73 0.3556208854
3 74 0.8426530579
3 75 0.3064326388
3 76 0.582512421
3 77 0.8194959657
3 78 0.442321619
3 79 0.4958660918
3 80 0.5171371473
3 81 0.2481942726
3 82 0.1088648758
3 83 0.1558888772
3 84 0.2485758033
3 85 0.498034097
3 86 0.1755355168
3 87 0.1421295311
3 88 0.0420797399
3 89 0.0870631142
3 90 0.2037586525
3 91 0.034633542
3 92 0.178017592
3 93 0.046590763
3 94 0.0445485426
3 95 0.1273853824
3 96 0.2669905012
3 97 0.2821038036
3 98 0.4151288341
3 99 0.5464414819
3 100 1.1543571267
3 101 0.3934461237
3 102 0.5469378314
3 103 0.7388918635
3 104 0.6313042325
3 105 0.5736810164
3 106 0.2189448374
3 107 0.2583264667
3 108 0.3548513692
3 109 0.3921166115
3 110 1.2492514362
3 111 0.249924571
3 112 0.3159826939
3 113 0.7865885914
3 114 0.9762915697
3 115 1.3374690993
3 116 0.7486075834
3 117 1.2408438475
3 118 0.9746479271
3 119 1.9887890902
3 120 0.8127737847
3 121 0.9792542225
3 122 2.1317482291
3 123 0.1926848498
3 124 1.0024221184
3 125 2.0420821151
3 126 1.7101552526
3 127 0.3340444919
3 128 0.5373201424
3 129 3.964151448
3 130 0.7909038276
3 131 0.8630697759
3 132 0.7404784395
3 133 1.3736787609
3 134 3.6110030241
3 135 1.0326670341
3 136 0.600907047
3 137 1.8877318608
3 138 0.4177114717
3 139 0.6879776176
3 140 0.1010722196
3 141 0.0076728922
4 0 0.0853791457
4 1 0.9981427154
4 2 0.9283979106
4 3 1.1346405883
4 4 1.9326198737
4 5 0.5552682729
4 6 1.2527526526
4 7 3.4043301077
4 8 3.193286028
4 9 1.5480111277
4 10 1.3305380892
4 11 1.2532191359
4 12 2.1834357159
4 13 0.738001846
4 14 1.3594155564
4 15 0.9304184534
4 16 1.9465100076
4 17 1.3537883322
4 18 0.8622953797
4 19 1.1959593442
4 20 1.5502986463
4 21 1.6073330739
4 22 1.0828983216
4 23 0.3639446149
4 24 1.4529023982
4 25 0.2886115019
4 26 0.1800218027
4 27 0.043809568
4 28 0.1342489892
4 29 0.18669694
4 30 0.5059926755
4 31 0.2432184336
4 32 0.2071475784
4 33 0.4557789151
4 34 0.4208198998
4 35 0.2914905735
4 36 0.5316999328
4 37 0.357401709
4 38 0.3527902674
4 39 0.2733605826
4 40 0.1690240258
4 41 0.2839241893
4 42 1.0632760197
4 43 0.5592999178
4 44 0.1090169402
4 45 0.2563920818
4 46 0.3993135367
4 47 0.0974661906
4 48 0.19505475
4 49 0.0418490096
4 50 0.0490561182
4 51 0.0069630852
4 52 0.0137592842
4 53 0.0043831817
4 54 0.0243195221
4 55 0.0755768779
4 56 0.0203818323
4 57 0.0391290608
4 58 0.154537387
4 59 0.1571131078
4 60 0.1719759262
4 61 0.2884768904
4 62 0.1999303251
4 63 0.0770430704
